QuestionId,CreatedDate,Question,Type,Status,responseA,responseB,responseC,responseD,responseE,responseF,responseG,responseH,rationaleA,rationaleB,rationaleC,rationaleD,rationaleE,rationaleF,rationaleG,rationaleH,Key,Rationale,Topic,KnowledgeSkills,Tags
1001,2024-07-01,"What is the main component of AWS Lambda?","Multiple Choice",Active,"Serverless computing","Database service","Content delivery network","Virtual machine",,,,,"Lambda is a serverless compute service that runs code in response to events. Learn more at https://aws.amazon.com/lambda/","Amazon RDS is AWS's database service for relational databases. Learn more at https://aws.amazon.com/rds/","Amazon CloudFront is AWS's CDN for global content delivery. Learn more at https://aws.amazon.com/cloudfront/","EC2 provides virtual machines in the AWS cloud. Learn more at https://aws.amazon.com/ec2/",,,,,"A","AWS Lambda is a serverless compute service that runs code in response to events and automatically manages the underlying compute resources. Lambda is the core service in AWS's serverless offering, allowing developers to build applications without provisioning or managing servers. For more information, refer to the AWS Lambda documentation: https://docs.aws.amazon.com/lambda/latest/dg/welcome.html","Cloud Computing","AWS Compute","cloud,serverless,lambda"
1002,2024-07-01,"Which of the following are AWS storage services?","Multiple Response",Active,"S3","EC2","EBS","Lambda","RDS","DynamoDB","Glacier",,"S3 is an object storage service designed for durability and scalability. Learn more at https://aws.amazon.com/s3/","EC2 is a compute service, not a storage service. Learn more at https://aws.amazon.com/ec2/","EBS provides block-level storage volumes for EC2 instances. Learn more at https://aws.amazon.com/ebs/","Lambda is a compute service for serverless applications. Learn more at https://aws.amazon.com/lambda/","RDS is a relational database service, not primarily a storage service. Learn more at https://aws.amazon.com/rds/","DynamoDB is a NoSQL database service, not primarily a storage service. Learn more at https://aws.amazon.com/dynamodb/","Glacier is a low-cost storage service for data archiving. Learn more at https://aws.amazon.com/glacier/",,"ACG","AWS offers various storage services for different use cases and performance requirements. S3 (Simple Storage Service) provides object storage, EBS (Elastic Block Store) provides block storage, and Glacier provides archival storage. EC2, Lambda, RDS, and DynamoDB are not storage services. For a comprehensive overview of AWS storage services, refer to: https://aws.amazon.com/products/storage/","Cloud Computing","AWS Storage Services","aws,storage,s3,ebs,glacier"
1003,2024-07-01,"Which AWS service should be used for decoupling components in a distributed system?","Multiple Choice",Active,"Amazon SQS","Amazon RDS","AWS AppSync","Amazon CloudFront",,,,,"Amazon SQS is designed for decoupling application components and asynchronous processing. Learn more at https://aws.amazon.com/sqs/","Amazon RDS is a relational database service, not primarily for decoupling. Learn more at https://aws.amazon.com/rds/","AWS AppSync is a GraphQL service for building APIs. Learn more at https://aws.amazon.com/appsync/","Amazon CloudFront is a content delivery network. Learn more at https://aws.amazon.com/cloudfront/",,,,,"A","Using Amazon SQS for decoupling and asynchronous processing is a recommended practice for building scalable and reliable distributed systems. AWS recommends using SQS to decouple components and handle bursts in traffic. You can find more information in the AWS documentation: https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/welcome.html","Cloud Computing","AWS Messaging Services","aws,messaging,sqs,architecture"
1004,2024-07-01,"Which AWS services can be used for container orchestration?","Multiple Response",Active,"ECS","EC2","EKS","S3","Fargate",,,,,"Amazon ECS is a container orchestration service for running, stopping, and managing containers. Learn more at https://aws.amazon.com/ecs/","EC2 is a compute service, not primarily for container orchestration. Learn more at https://aws.amazon.com/ec2/","Amazon EKS is a managed Kubernetes service for container orchestration. Learn more at https://aws.amazon.com/eks/","S3 is a storage service, not for container orchestration. Learn more at https://aws.amazon.com/s3/","AWS Fargate is a serverless compute engine for containers that works with ECS and EKS. Learn more at https://aws.amazon.com/fargate/",,,,,"ACE","Container orchestration services help manage deployments, scaling, and networking of containers. AWS offers several services for container orchestration, including ECS (Elastic Container Service), EKS (Elastic Kubernetes Service), and Fargate (serverless container compute). EC2 is a general compute service, while S3 is a storage service. Learn more about AWS container services at: https://aws.amazon.com/containers/","Cloud Computing","Container Management","aws,containers,ecs,eks,fargate"
1005,2024-07-01,"Which AWS service provides a fully managed NoSQL database?","Multiple Choice",Active,"DynamoDB","Aurora","Neptune","Redshift",,,,,"DynamoDB is a fully managed NoSQL database service. Learn more at https://aws.amazon.com/dynamodb/","Aurora is a relational database compatible with MySQL and PostgreSQL. Learn more at https://aws.amazon.com/rds/aurora/","Neptune is a graph database service. Learn more at https://aws.amazon.com/neptune/","Redshift is a data warehousing service. Learn more at https://aws.amazon.com/redshift/",,,,,"A","Amazon DynamoDB is a fully managed NoSQL database service that provides fast and predictable performance with seamless scalability. It's designed to run high-performance applications at any scale and offers built-in security, continuous backups, and multi-region replication. Learn more about DynamoDB at: https://aws.amazon.com/dynamodb/","Cloud Computing","AWS Database Services","aws,database,dynamodb,nosql"
4001,2024-06-01,"What is the primary benefit of using a distributed version control system like Git, compared to centralized systems?",Multiple Choice,Active,"Better collaboration with multiple developers, allowing parallel work","Faster performance than centralized systems, even with large repositories","Reduced storage requirements, even for large projects","Exclusive file locking to prevent merge conflicts",,,,,This is correct - distributed VCS allows multiple developers to work in parallel with full local history,"While Git can be faster for many operations, performance isn't its primary advantage over centralized systems","Distributed systems typically use more storage, not less, as each clone has the full repository","File locking is more common in centralized systems, while distributed systems use merging",,,,,A,,Version Control,Software Development,git dvcs
4002,06/02/2024,Which of the following is NOT a valid React Hook?,Multiple Choice,Active,useEffect,useState,useLayout,useContext,,,,,useEffect is a standard React hook for side effects,useState is a standard React hook for state management,"useLayout is not a standard React hook (useLayoutEffect exists, but not useLayout)",useContext is a standard React hook for consuming context,,,,,C,React hooks must follow specific naming conventions and are built-in or custom functions that let you use React features,React,Front-end Development,hooks javascript
4003,June 3 2024,What does the AWS Lambda service provide?,Multiple Choice,Active,"Serverless compute service, with automatic scaling","Database management, with automatic backups","Content delivery network, with global edge locations","DNS routing, with health checks",,,,,AWS Lambda is a serverless compute service that runs code in response to events and automatically manages the computing resources,"This describes services like RDS or DynamoDB, not Lambda","This describes Amazon CloudFront, not Lambda","This describes Amazon Route 53, not Lambda",,,,,A,AWS Lambda handles infrastructure management so you can focus on code,AWS,Cloud Computing,serverless lambda
4004,2024/06/04,"Which sorting algorithm has the best average-case time complexity, assuming optimal implementation?",Multiple Choice,Active,Bubble Sort,Quick Sort,Selection Sort,Insertion Sort,,,,,Bubble Sort has O(n²) average time complexity,Quick Sort has O(n log n) average time complexity,Selection Sort has O(n²) average time complexity,Insertion Sort has O(n²) average time complexity,,,,,B,Quick Sort is generally the fastest practical sorting algorithm for large datasets with an average time complexity of O(n log n),Algorithms,Computer Science,sorting complexity
4005,Thursday June 5th,Which of these are authentication methods used for API access?,Multiple Response,Active,OAuth 2.0,"API Keys, including JWT tokens","Basic Authentication, using username/password",JWT,"SAML, for enterprise SSO","OpenID Connect, for identity federation",,,OAuth 2.0 is an authorization framework commonly used for API authentication,"API Keys are a simple authentication method, and JWTs can be used as API keys","Basic Authentication using username/password can be used for API access",JWT (JSON Web Tokens) are used for secure information exchange and authentication,"SAML is primarily used for enterprise SSO, not typically for API authentication","OpenID Connect is built on OAuth 2.0 and used for authentication",,,ABCD,"Authentication is crucial for API security, with different methods offering varying levels of security and complexity",Security,API Design,authentication oauth jwt 